drug,ndc_raw,ndc
amitriptyline,70710-1227-0,70710122700
amitriptyline,70710-1229-1,70710122901
amitriptyline,61919-076-90,61919007690
amitriptyline,50090-2553-0,50090255300
amitriptyline,50090-2553-1,50090255301
amitriptyline,50090-2553-2,50090255302
amitriptyline,50090-2553-5,50090255305
amitriptyline,68071-4238-3,68071423803
amitriptyline,64330-630-01,64330063001
amitriptyline,64330-631-01,64330063101
amitriptyline,64330-632-01,64330063201
amitriptyline,64330-633-01,64330063301
amitriptyline,64330-634-01,64330063401
amitriptyline,64330-635-01,64330063501
amitriptyline,63187-637-90,63187063790
amitriptyline,53002-3390-1,53002339001
amitriptyline,53002-3390-3,53002339003
amitriptyline,70710-1230-1,70710123001
amitriptyline,70710-1228-1,70710122801
amitriptyline,70710-1229-0,70710122900
amitriptyline,43353-163-60,43353016360
amitriptyline,43353-164-53,43353016453
amitriptyline,43063-822-30,43063082230
amitriptyline,63187-359-90,63187035990
amitriptyline,60687-433-01,60687043301
amitriptyline,60687-444-01,60687044401
amitriptyline,60760-212-90,60760021290
amitriptyline,68788-6320-8,68788632008
amitriptyline,60760-367-00,60760036700
amitriptyline,68788-6320-3,68788632003
amitriptyline,61919-076-30,61919007630
amitriptyline,61919-117-30,61919011730
amitriptyline,61919-117-60,61919011760
amitriptyline,61919-289-30,61919028930
amitriptyline,61919-289-60,61919028960
amitriptyline,61919-289-90,61919028990
amitriptyline,68788-6432-9,68788643209
amitriptyline,61919-374-30,61919037430
amitriptyline,70756-201-11,70756020111
amitriptyline,70756-201-12,70756020112
amitriptyline,70756-202-11,70756020211
amitriptyline,70756-202-12,70756020212
amitriptyline,70771-1173-0,70771117300
amitriptyline,70771-1174-0,70771117400
amitriptyline,63187-637-60,63187063760
amitriptyline,70756-203-11,70756020311
amitriptyline,70756-203-12,70756020312
amitriptyline,70756-204-11,70756020411
amitriptyline,70756-205-11,70756020511
amitriptyline,70756-206-11,70756020611
amitriptyline,70771-1175-1,70771117501
amitriptyline,70771-1178-0,70771117800
amitriptyline,63629-2120-1,63629212001
amitriptyline,63629-2123-1,63629212301
amitriptyline,70771-1175-0,70771117500
amitriptyline,70771-1177-0,70771117700
