drug,ndc_raw,ndc
aripiprazole,43598-554-05,43598055405
aripiprazole,43598-559-30,43598055930
aripiprazole,71335-1832-1,71335183201
aripiprazole,71335-1832-2,71335183202
aripiprazole,71335-1832-3,71335183203
aripiprazole,71335-1832-4,71335183204
aripiprazole,71335-1832-5,71335183205
aripiprazole,71335-1832-6,71335183206
aripiprazole,63187-965-60,63187096560
aripiprazole,65162-901-11,65162090111
aripiprazole,43353-180-79,43353018079
aripiprazole,46708-254-31,46708025431
aripiprazole,46708-256-71,46708025671
aripiprazole,46708-258-91,46708025891
aripiprazole,71335-1515-1,71335151501
aripiprazole,71335-1515-2,71335151502
aripiprazole,71335-1515-3,71335151503
aripiprazole,71335-1515-4,71335151504
aripiprazole,33342-122-07,33342012207
aripiprazole,33342-122-11,33342012211
aripiprazole,33342-122-12,33342012212
aripiprazole,33342-123-07,33342012307
aripiprazole,33342-123-11,33342012311
aripiprazole,33342-123-12,33342012312
aripiprazole,33342-124-07,33342012407
aripiprazole,33342-124-11,33342012411
aripiprazole,33342-124-12,33342012412
aripiprazole,33342-125-07,33342012507
aripiprazole,33342-125-11,33342012511
aripiprazole,33342-125-12,33342012512
aripiprazole,33342-126-07,33342012607
aripiprazole,33342-126-11,33342012611
aripiprazole,33342-126-12,33342012612
aripiprazole,33342-127-07,33342012707
aripiprazole,33342-127-11,33342012711
aripiprazole,33342-127-12,33342012712
aripiprazole,71335-0412-1,71335041201
aripiprazole,71335-0412-2,71335041202
aripiprazole,71335-0895-1,71335089501
aripiprazole,62332-097-91,62332009791
aripiprazole,62332-099-10,62332009910
aripiprazole,62332-100-10,62332010010
aripiprazole,62332-100-30,62332010030
aripiprazole,62332-101-30,62332010130
aripiprazole,62332-102-10,62332010210
aripiprazole,43353-148-15,43353014815
aripiprazole,0615-8375-39,00615837539
aripiprazole,68788-7006-2,68788700602
aripiprazole,68788-7006-3,68788700603
aripiprazole,68071-2705-3,68071270503
aripiprazole,68071-2708-3,68071270803
aripiprazole,70518-2827-0,70518282700
aripiprazole,60505-2674-8,60505267408
aripiprazole,48433-115-10,48433011510
aripiprazole,65162-896-11,65162089611
aripiprazole,65162-897-09,65162089709
aripiprazole,65162-901-03,65162090103
aripiprazole,65162-902-03,65162090203
aripiprazole,46708-255-60,46708025560
aripiprazole,46708-255-91,46708025591
aripiprazole,46708-257-31,46708025731
aripiprazole,62332-098-91,62332009891
aripiprazole,62332-100-91,62332010091
aripiprazole,62332-101-71,62332010171
aripiprazole,71335-1892-1,71335189201
aripiprazole,71335-1892-2,71335189202
aripiprazole,71335-1892-3,71335189203
aripiprazole,71335-1892-4,71335189204
aripiprazole,71335-1893-1,71335189301
aripiprazole,71335-1893-2,71335189302
aripiprazole,71335-1893-3,71335189303
aripiprazole,71335-1893-4,71335189304
aripiprazole,71335-1893-5,71335189305
aripiprazole,71335-1893-6,71335189306
aripiprazole,70518-2643-0,70518264300
aripiprazole,70518-2765-0,70518276500
aripiprazole,62332-098-10,62332009810
aripiprazole,62332-098-31,62332009831
aripiprazole,62332-101-31,62332010131
aripiprazole,65862-665-30,65862066530
aripiprazole,65862-666-01,65862066601
aripiprazole,71335-1903-1,71335190301
aripiprazole,71335-1903-2,71335190302
aripiprazole,71335-1903-3,71335190303
aripiprazole,71335-1903-4,71335190304
aripiprazole,69452-338-13,69452033813
aripiprazole,69452-339-13,69452033913
aripiprazole,68788-8089-1,68788808901
aripiprazole,68788-8089-2,68788808902
aripiprazole,68788-8089-3,68788808903
aripiprazole,68788-8089-6,68788808906
aripiprazole,68788-8089-9,68788808909
aripiprazole,70518-2820-0,70518282000
aripiprazole,76282-044-30,76282004430
aripiprazole,76282-045-30,76282004530
aripiprazole,0904-6511-06,00904651106
aripiprazole,65862-662-05,65862066205
aripiprazole,65862-662-30,65862066230
aripiprazole,65862-663-30,65862066330
aripiprazole,65862-664-78,65862066478
aripiprazole,65862-665-01,65862066501
aripiprazole,65862-666-05,65862066605
aripiprazole,76282-046-30,76282004630
aripiprazole,43598-965-05,43598096505
aripiprazole,43598-965-30,43598096530
aripiprazole,43598-966-05,43598096605
aripiprazole,43598-966-30,43598096630
aripiprazole,43598-967-05,43598096705
aripiprazole,43598-967-30,43598096730
aripiprazole,43598-968-05,43598096805
aripiprazole,43598-968-30,43598096830
aripiprazole,43598-969-05,43598096905
aripiprazole,43598-969-30,43598096930
aripiprazole,43598-970-05,43598097005
aripiprazole,43598-970-30,43598097030
aripiprazole,70518-2869-0,70518286900
aripiprazole,70518-2869-1,70518286901
aripiprazole,70518-2897-0,70518289700
aripiprazole,70518-2950-0,70518295000
