drug,ndc_raw,ndc
carbamazepine,58118-0268-8,58118026808
carbamazepine,0093-0778-01,00093077801
carbamazepine,43063-328-30,43063032830
carbamazepine,63629-8743-1,63629874301
carbamazepine,71335-0462-3,71335046203
carbamazepine,0904-7116-01,00904711601
carbamazepine,70771-1469-1,70771146901
carbamazepine,70771-1469-3,70771146903
carbamazepine,70771-1469-4,70771146904
carbamazepine,70771-1469-9,70771146909
carbamazepine,70771-1470-1,70771147001
carbamazepine,70771-1470-3,70771147003
carbamazepine,70771-1470-4,70771147004
carbamazepine,70771-1470-9,70771147009
carbamazepine,68084-561-21,68084056121
carbamazepine,51672-4005-1,51672400501
carbamazepine,51672-4005-2,51672400502
carbamazepine,60505-2807-3,60505280703
carbamazepine,60505-2807-5,60505280705
carbamazepine,60687-479-01,60687047901
carbamazepine,0781-5988-01,00781598801
carbamazepine,70518-3174-0,70518317400
carbamazepine,50090-0384-0,50090038400
carbamazepine,50090-0384-1,50090038401
carbamazepine,50090-0384-3,50090038403
carbamazepine,70518-2426-2,70518242602
carbamazepine,50268-170-13,50268017013
carbamazepine,55154-1396-0,55154139600
carbamazepine,60505-2805-3,60505280503
carbamazepine,51672-4150-1,51672415001
carbamazepine,70771-1468-1,70771146801
carbamazepine,70771-1468-3,70771146803
carbamazepine,70771-1468-4,70771146804
carbamazepine,70771-1468-9,70771146809
carbamazepine,70518-1769-0,70518176900
carbamazepine,60505-2806-7,60505280607
carbamazepine,50268-171-13,50268017113
carbamazepine,51407-215-01,51407021501
carbamazepine,51407-215-10,51407021510
carbamazepine,71335-0691-3,71335069103
carbamazepine,51672-4151-1,51672415101
carbamazepine,50268-172-13,50268017213
carbamazepine,60429-032-01,60429003201
carbamazepine,63629-8721-1,63629872101
carbamazepine,29033-020-12,29033002012
carbamazepine,71335-0691-5,71335069105
carbamazepine,0121-0947-94,00121094794
carbamazepine,50090-5740-0,50090574000
carbamazepine,50090-5740-3,50090574003
carbamazepine,0615-3505-39,00615350539
carbamazepine,71930-072-12,71930007212
carbamazepine,71930-074-12,71930007412
carbamazepine,70518-1433-1,70518143301
carbamazepine,70518-2242-1,70518224201
carbamazepine,70518-2456-0,70518245600
carbamazepine,71205-025-30,71205002530
carbamazepine,71205-025-60,71205002560
carbamazepine,71930-073-12,71930007312
carbamazepine,51672-4047-9,51672404709
carbamazepine,0093-0109-01,00093010901
carbamazepine,0093-0109-10,00093010910
carbamazepine,70518-1769-1,70518176901
carbamazepine,29033-019-12,29033001912
carbamazepine,51672-4150-3,51672415003
carbamazepine,0615-8125-39,00615812539
carbamazepine,60505-0183-1,60505018301
carbamazepine,71930-074-90,71930007490
carbamazepine,29033-004-12,29033000412
carbamazepine,0121-1894-94,00121189494
carbamazepine,71335-0461-6,71335046106
carbamazepine,63629-9296-1,63629929601
carbamazepine,71335-0461-4,71335046104
carbamazepine,70518-0181-0,70518018100
carbamazepine,71335-0461-2,71335046102
carbamazepine,63629-8715-1,63629871501
carbamazepine,63629-8720-1,63629872001
carbamazepine,51672-4149-1,51672414901
carbamazepine,43353-953-80,43353095380
carbamazepine,35561-357-12,35561035712
carbamazepine,35561-356-12,35561035612
carbamazepine,35561-355-12,35561035512
carbamazepine,54092-171-12,54092017112
carbamazepine,54092-173-12,54092017312
carbamazepine,54092-172-12,54092017212
carbamazepine,67386-621-52,67386062152
carbamazepine,0093-0090-01,00093009001
carbamazepine,30698-419-12,30698041912
carbamazepine,30698-421-12,30698042112
carbamazepine,30698-423-12,30698042312
carbamazepine,0078-0509-05,00078050905
carbamazepine,0078-0509-20,00078050920
carbamazepine,0078-0511-05,00078051105
carbamazepine,0078-0512-05,00078051205
carbamazepine,0078-0508-83,00078050883
carbamazepine,0078-0510-05,00078051005
cariprazine,61874-145-07,61874014507
cariprazine,61874-145-30,61874014530
cariprazine,61874-170-08,61874017008
cariprazine,61874-130-20,61874013020
cariprazine,61874-130-30,61874013030
cariprazine,61874-130-07,61874013007
cariprazine,61874-130-31,61874013031
