drug,ndc_raw,ndc
alprazolam,71205-614-02,71205061402
alprazolam,71205-614-30,71205061430
alprazolam,65162-812-50,65162081250
alprazolam,59762-3720-1,59762372001
alprazolam,63187-916-30,63187091630
alprazolam,67544-415-15,67544041515
alprazolam,67544-415-30,67544041530
alprazolam,72189-213-60,72189021360
alprazolam,0228-3086-06,00228308606
alprazolam,49884-214-74,49884021474
alprazolam,67544-415-20,67544041520
alprazolam,67544-415-53,67544041553
alprazolam,68071-5128-3,68071512803
alprazolam,49884-213-74,49884021374
alprazolam,71335-1477-4,71335147704
alprazolam,71335-1477-5,71335147705
alprazolam,71335-1477-6,71335147706
alprazolam,71335-1477-7,71335147707
alprazolam,72189-029-30,72189002930
alprazolam,72189-029-60,72189002960
alprazolam,0615-8216-39,00615821639
alprazolam,72189-121-60,72189012160
alprazolam,59762-3721-3,59762372103
alprazolam,64980-397-01,64980039701
alprazolam,63187-443-60,63187044360
alprazolam,63187-443-90,63187044390
alprazolam,65862-678-05,65862067805
alprazolam,65862-678-99,65862067899
alprazolam,63187-443-30,63187044330
alprazolam,63187-445-90,63187044590
alprazolam,63187-445-30,63187044530
alprazolam,63187-445-60,63187044560
alprazolam,71335-0920-4,71335092004
alprazolam,53002-3952-1,53002395201
alprazolam,53002-3952-2,53002395202
alprazolam,53002-3952-3,53002395203
alprazolam,0228-2027-10,00228202710
alprazolam,0228-2027-50,00228202750
alprazolam,0228-2027-96,00228202796
alprazolam,63187-225-90,63187022590
alprazolam,67544-414-60,67544041460
alprazolam,64980-397-10,64980039710
alprazolam,0054-3068-44,00054306844
alprazolam,50090-2781-0,50090278100
alprazolam,50090-2781-1,50090278101
alprazolam,50090-2781-3,50090278103
alprazolam,71335-1129-1,71335112901
alprazolam,71335-1129-2,71335112902
alprazolam,71335-1129-3,71335112903
alprazolam,71335-1129-4,71335112904
alprazolam,80425-0099-2,80425009902
alprazolam,65162-813-03,65162081303
alprazolam,70934-558-30,70934055830
alprazolam,0228-2039-10,00228203910
alprazolam,65862-676-99,65862067699
alprazolam,50090-5078-3,50090507803
alprazolam,67544-347-30,67544034730
alprazolam,67544-347-53,67544034753
alprazolam,67544-347-80,67544034780
alprazolam,64980-397-50,64980039750
alprazolam,53002-3950-1,53002395001
alprazolam,53002-3950-2,53002395002
alprazolam,53002-3950-3,53002395003
alprazolam,53002-4180-1,53002418001
alprazolam,53002-4180-2,53002418002
alprazolam,53002-4180-3,53002418003
alprazolam,65862-454-71,65862045471
alprazolam,0228-3084-06,00228308406
alprazolam,63187-916-90,63187091690
alprazolam,65162-812-03,65162081203
alprazolam,0228-4024-11,00228402411
alprazolam,0228-4025-11,00228402511
alprazolam,68071-2794-6,68071279406
alprazolam,59762-3720-4,59762372004
alprazolam,72789-151-30,72789015130
alprazolam,71610-113-60,71610011360
alprazolam,0781-1089-01,00781108901
alprazolam,71335-0920-2,71335092002
alprazolam,71335-0920-5,71335092005
alprazolam,65862-456-71,65862045671
alprazolam,65862-455-60,65862045560
alprazolam,65862-456-60,65862045660
alprazolam,53002-0340-2,53002034002
alprazolam,53002-0340-3,53002034003
alprazolam,55700-671-30,55700067130
alprazolam,64980-396-10,64980039610
alprazolam,0228-4019-11,00228401911
alprazolam,0228-4022-11,00228402211
alprazolam,59762-0068-1,59762006801
alprazolam,65862-454-99,65862045499
